"","UC"
"F5497",12.0231
"F40947",-8.2026
"F41030",-8.1128
"F40904",-8.1019
"F11301",8.1124
"F2329",3.9878
"F4631",13.5021
"F4777",12.8875
"F11302",10.1455
"F40955",-9.4909
"F8541",6.1436
"F10434",9.7385
"F12127",11.7768
"F5498",10.4115
"F41029",-8.1078
"F4637",10.2481
"F1567",5.5359
"F3375",9.3923
"F41270",10.9565
"F2079",4.2589
"F10370",7.5348
"F49275",15.8371
"F1552",13.1589
"F1600",-8.0404
"F4747",10.5029
"F12770",9.9475
"F45237",13.813
"F50319",6.0239
"F4778",9.5405
"F38556",14.2562
"F1620",-7.3023
"F676",10.297
"F1566",13.7988
"F13123",10.3339
"F51475",9.9377
"F10890",9.2403
"F37304",11.6499
"F8542",7.5398
"F2883",10.0257
"F47111",11.8175
"F54435",12.3976
"F1344",-6.762
"F1687",9.2457
"F41410",10.3789
"F50741",10.3239
"F55036",11.2179
"F2484",8.9276
"F5106",10.8634
"F40936",11.6182
"F2992",6.8834
"F3684",10.6138
"F4801",8.1098
"F10005",9.1137
"F40905",-7.3228
"F40926",10.6836
"F56619",9.8781
"F54875",3.2387
"F40943",15.0325
"F49170",6.8792
"F51917",14.1495
"F1571",8.5269
"F2123",7.44
"F50782",9.6647
"F56382",9.4362
"F5062",8.028
"F51437",8.3596
"F4771",8.7305
"F787",6.177
"F4812",9.7843
"F1569",7.6798
"F1591",10.694
"F1956",11.6028
"F12158",9.0796
"F3126",7.0377
"F51587",11.4051
"F2109",7.8533
"F1763",10.0078
"F2099",3.2606
"F2122",6.8727
"F1277",7.7604
"F2080",4.552
"F2409",9.2464
"F3155",9.1646
"F3226",10.6523
"F3685",5.2146
"F9492",7.1341
"F12354",8.4208
"F41484",14.9557
"F10053",9.9629
"F54618",11.5858
"F2287",7.3193
"F2813",10.2909
"F4423",5.0838
"F874",10.1323
"F50835",12.3152
"F1938",8.5511
"F7708",10.2919
"F3022",9.4287
"F47970",13.8518
"F1573",9.2441
"F1679",-6.6482
"F50477",9.6122
"F1357",-7.2718
"F41469",7.3743
"F41057",-8.9873
"F12219",9.6457
"F9487",9.4324
"F1499",-6.5597
"F9483",7.405
"F53667",9.181
"F700",11.9744
"F1806",10.8576
"F2488",9.4173
"F39553",12.1682
"F2959",8.8443
"F10883",10.9576
"F41076",-6.4452
"F2843",7.6722
"F9485",10.0312
"F50431",9.2465
"F1593",-7.7847
"F3741",9.2927
"F9477",-5.6835
"F40888",-7.792
"F40753",-7.2591
"F1188",-7.9182
"F52463",3.1443
"F41308",-7.9792
"F41676",-5.7253
"F48918",13.0546
"F49944",8.5001
"F50387",9.4213
"F55806",6.8002
"F55240",11.4151
"F3192",9.0863
"F2374",11.3131
"F4580",4.6133
"F1590",-6.7595
"F46268",10.8743
"F8518",10.4095
"F47571",12.309
"F1048",5.876
"F50902",7.7799
"F2741",7.2493
"F53721",9.5369
"F41362",-5.8888
"F4308",3.8816
"F10800",11.6665
"F42710",9.3046
"F1689",8.1054
"F54757",12.0781
"F32042",-1.5941
"F50214",8.0777
"F4887",7.3175
"F47129",10.7703
"F40966",-6.1848
"F5278",10.5533
"F9831",5.0187
"F45207",11.374
"F2635",8.6465
"F2927",9.3675
"F41782",-4.8331
"F49885",11.0044
"F3645",10.3269
"F5006",4.302
"F7875",4.3065
"F6676",7.3308
"F7911",3.5257
"F40914",-7.3201
"F41156",-6.296
"F46671",6.6863
"F48123",9.7981
"F40968",-6.3694
"F995",7.3928
"F9837",5.1539
"F38973",7.5988
"F55950",11.6146
"F2707",6.8876
"F1408",-6.7957
"F41355",-4.1128
"F4170",8.538
"F51382",10.95
"F4846",5.2863
"F48843",10.1693
"F51616",9.0208
"F49942",7.0129
"F4748",9.0792
"F1434",7.3898
"F41084",-7.5298
"F6872",3.6761
"F2082",5.0072
"F7513",8.7004
"F7890",4.6943
"F41622",-7.6422
"F52188",8.0834
"F11553",5.0794
"F1544",-6.2231
"F41003",-7.8095
"F1283",-7.1159
"F56658",9.2755
"F3237",2.1603
"F8594",9.3466
"F51344",8.5151
"F1581",5.1268
"F2732",7.4425
"F2830",9.0054
"F3593",8.2503
"F6678",7.8745
"F41060",-6.2868
"F50320",6.6038
"F51071",2.5342
"F8063",3.4798
"F3721",3.7512
"F7589",9.8859
"F41171",-8.0826
"F11054",-5.7679
"F41018",-6.7571
"F1514",-6.552
"F41542",-5.9274
"F1409",-6.8199
"F1447",-6.3569
"F44447",9.1918
"F55751",10.0878
"F41537",-5.1914
"F41065",-8.2465
"F46392",9.4705
"F53723",12.5258
"F2751",4.439
"F55808",9.0645
"F3277",10.044
"F1743",-5.6858
"F12358",8.5439
"F4818",5.9748
"F10461",10.132
"F51537",9.7652
"F2069",-4.5601
"F40950",9.7718
"F1415",-6.8896
"F51435",6.979
"F4740",6.3014
"F51746",8.0014
"F11423",9.3004
"F3678",9.6906
"F41495",-6.8192
"F52286",5.1534
"F41157",-6.61
"F2891",4.5084
"F1979",6.1857
"F1517",-5.0942
"F2235",8.2854
"F50689",8.5145
"F51428",-6.7574
"F2081",-4.9678
"F620",6.9923
"F52465",7.936
"F924",5.9567
"F882",5.3654
