"","feature","metadata","value","qvalue"
"F7779","F7779","diagnosis2","CD.dys",1.44823818533116e-10
"F7328","F7328","diagnosis2","CD.dys",8.06268685062749e-08
"F10906","F10906","diagnosis2","CD.dys",8.06268685062749e-08
"F6902","F6902","diagnosis2","CD.dys",3.36958790247257e-07
"F35023","F35023","diagnosis2","CD.dys",3.36958790247257e-07
"F53072","F53072","diagnosis2","CD.dys",3.36958790247257e-07
"F22909","F22909","diagnosis2","CD.dys",3.36958790247257e-07
"F6917","F6917","diagnosis2","CD.dys",3.36958790247257e-07
"F11550","F11550","diagnosis2","CD.dys",3.36958790247257e-07
"F11237","F11237","diagnosis2","CD.dys",3.36958790247257e-07
"F7681","F7681","diagnosis2","CD.dys",3.52296374237147e-07
"F7804","F7804","diagnosis2","CD.dys",3.52296374237147e-07
"F50599","F50599","diagnosis2","CD.dys",3.8935968589907e-07
"F50736","F50736","diagnosis2","CD.dys",4.60695716283106e-07
"F38103","F38103","diagnosis2","CD.dys",6.94979303294168e-07
"F13570","F13570","diagnosis2","CD.dys",6.94979303294168e-07
"F50703","F50703","diagnosis2","CD.dys",6.99033055582558e-07
"F19653","F19653","diagnosis2","CD.dys",6.99033055582558e-07
"F34582","F34582","diagnosis2","CD.dys",9.12666406948035e-07
"F6720","F6720","diagnosis2","CD.dys",1.08899941651564e-06
"F7535","F7535","diagnosis2","CD.dys",1.10084603695546e-06
"F7418","F7418","diagnosis2","CD.dys",1.11014978486527e-06
"F9959","F9959","diagnosis2","CD.dys",1.6482389458863e-06
"F82","F82","diagnosis2","CD.dys",1.67614927629392e-06
"F39091","F39091","diagnosis2","CD.dys",1.7621287951334e-06
"F1978","F1978","diagnosis2","CD.dys",1.7621287951334e-06
"F36317","F36317","diagnosis2","CD.dys",2.35602539024434e-06
"F45432","F45432","diagnosis2","CD.dys",2.35996670061184e-06
"F38326","F38326","diagnosis2","CD.dys",2.37496113371683e-06
"F50661","F50661","diagnosis2","CD.dys",2.39059108754414e-06
"F6719","F6719","diagnosis2","CD.dys",2.42593716090363e-06
"F36527","F36527","diagnosis2","CD.dys",2.69381501795189e-06
"F11642","F11642","diagnosis2","CD.dys",2.69381501795189e-06
"F42414","F42414","diagnosis2","CD.dys",2.69381501795189e-06
"F6515","F6515","diagnosis2","CD.dys",2.82466863382633e-06
"F33482","F33482","diagnosis2","CD.dys",2.92502579331004e-06
"F10477","F10477","diagnosis2","CD.dys",3.54087271434902e-06
"F42346","F42346","diagnosis2","CD.dys",3.72977499890725e-06
"F9334","F9334","diagnosis2","CD.dys",3.83825235164464e-06
"F27049","F27049","diagnosis2","CD.dys",3.83825235164464e-06
"F35554","F35554","diagnosis2","CD.dys",3.83825235164464e-06
"F7782","F7782","diagnosis2","CD.dys",4.31273874238342e-06
"F19242","F19242","diagnosis2","CD.dys",4.43275605109451e-06
"F32108","F32108","diagnosis2","CD.dys",4.45699770386444e-06
"F55617","F55617","diagnosis2","CD.dys",4.74809966415972e-06
"F9074","F9074","diagnosis2","CD.dys",4.87862811490828e-06
"F11665","F11665","diagnosis2","CD.dys",4.87862811490828e-06
"F7770","F7770","diagnosis2","CD.dys",4.87862811490828e-06
"F8975","F8975","diagnosis2","CD.dys",5.02097909422633e-06
"F7917","F7917","diagnosis2","CD.dys",5.11690677195353e-06
"F55421","F55421","diagnosis2","CD.dys",5.26312954794305e-06
"F8484","F8484","diagnosis2","CD.dys",6.01666469091176e-06
"F3291","F3291","diagnosis2","CD.dys",6.01666469091176e-06
"F7437","F7437","diagnosis2","CD.dys",6.01666469091176e-06
"F27391","F27391","diagnosis2","CD.dys",6.22441515560535e-06
"F11316","F11316","diagnosis2","CD.dys",6.22441515560535e-06
"F32015","F32015","diagnosis2","CD.dys",6.27909387751239e-06
"F9385","F9385","diagnosis2","CD.dys",6.3299406887197e-06
"F19699","F19699","diagnosis2","CD.dys",6.34641479272579e-06
"F44512","F44512","diagnosis2","CD.dys",7.24236562782039e-06
"F8402","F8402","diagnosis2","CD.dys",7.29831746472931e-06
"F55493","F55493","diagnosis2","CD.dys",7.34183621337853e-06
"F6061","F6061","diagnosis2","CD.dys",7.81187542562334e-06
"F8373","F8373","diagnosis2","CD.dys",7.88511486639545e-06
"F41842","F41842","diagnosis2","CD.dys",8.35760183307573e-06
"F16219","F16219","diagnosis2","CD.dys",8.50790422372344e-06
"F20981","F20981","diagnosis2","CD.dys",8.50790422372344e-06
"F5956","F5956","diagnosis2","CD.dys",8.50790422372344e-06
"F39301","F39301","diagnosis2","CD.dys",8.9871256469844e-06
"F61943","F61943","diagnosis2","CD.dys",9.36883102041911e-06
"F39798","F39798","diagnosis2","CD.dys",9.36883102041911e-06
"F19646","F19646","diagnosis2","CD.dys",1.03028278556328e-05
"F5151","F5151","diagnosis2","CD.dys",1.04086721428906e-05
"F34948","F34948","diagnosis2","CD.dys",1.11905537575704e-05
"F48930","F48930","diagnosis2","CD.dys",1.25179778185976e-05
"F4041","F4041","diagnosis2","CD.dys",1.34687492707673e-05
"F9527","F9527","diagnosis2","CD.dys",1.44152258439895e-05
"F3367","F3367","diagnosis2","CD.dys",1.51561791917182e-05
"F18276","F18276","diagnosis2","CD.dys",1.51561791917182e-05
"F23291","F23291","diagnosis2","CD.dys",1.51561791917182e-05
"F598","F598","diagnosis2","CD.dys",1.55766424445334e-05
"F3811","F3811","diagnosis2","CD.dys",1.55766424445334e-05
"F55387","F55387","diagnosis2","CD.dys",1.55766424445334e-05
"F55929","F55929","diagnosis2","CD.dys",1.584367226621e-05
"F10752","F10752","diagnosis2","CD.dys",1.66738897831536e-05
"F9315","F9315","diagnosis2","CD.dys",1.6784992105548e-05
"F44485","F44485","diagnosis2","CD.dys",1.72693298253054e-05
"F32003","F32003","diagnosis2","CD.dys",1.72778404111952e-05
"F8456","F8456","diagnosis2","CD.dys",1.73009674742164e-05
"F11272","F11272","diagnosis2","CD.dys",1.73009674742164e-05
"F12291","F12291","diagnosis2","CD.dys",1.73009674742164e-05
"F52834","F52834","diagnosis2","CD.dys",1.73009674742164e-05
"F65734","F65734","diagnosis2","CD.dys",1.73009674742164e-05
"F53417","F53417","diagnosis2","CD.dys",1.73009674742164e-05
"F44514","F44514","diagnosis2","CD.dys",1.73009674742164e-05
"F44513","F44513","diagnosis2","CD.dys",1.84588914515205e-05
"F3975","F3975","diagnosis2","CD.dys",1.90830702201589e-05
"F44190","F44190","diagnosis2","CD.dys",1.93875530891241e-05
"F2492","F2492","diagnosis2","CD.dys",1.93875530891241e-05
"F26830","F26830","diagnosis2","CD.dys",1.93875530891241e-05
"F23331","F23331","diagnosis2","CD.dys",1.93875530891241e-05
"F54016","F54016","diagnosis2","CD.dys",1.93875530891241e-05
"F39742","F39742","diagnosis2","CD.dys",1.93875530891241e-05
"F30369","F30369","diagnosis2","CD.dys",1.94524322943785e-05
"F3285","F3285","diagnosis2","CD.dys",1.94872224485729e-05
"F6690","F6690","diagnosis2","CD.dys",1.95788351240782e-05
"F32052","F32052","diagnosis2","CD.dys",1.99136463815112e-05
"F9983","F9983","diagnosis2","CD.dys",1.99136463815112e-05
"F8442","F8442","diagnosis2","CD.dys",1.99136463815112e-05
"F52314","F52314","diagnosis2","CD.dys",1.99136463815112e-05
"F7431","F7431","diagnosis2","CD.dys",1.99136463815112e-05
"F27040","F27040","diagnosis2","CD.dys",1.99136463815112e-05
"F26231","F26231","diagnosis2","CD.dys",2.00193529607917e-05
"F20429","F20429","diagnosis2","CD.dys",2.06290810948481e-05
"F7428","F7428","diagnosis2","CD.dys",2.13964017997369e-05
"F50495","F50495","diagnosis2","CD.dys",2.13964017997369e-05
"F52017","F52017","diagnosis2","CD.dys",2.17250357714101e-05
"F10781","F10781","diagnosis2","CD.dys",2.21090517639845e-05
"F44308","F44308","diagnosis2","CD.dys",2.30555510456338e-05
"F19719","F19719","diagnosis2","CD.dys",2.30555510456338e-05
"F50439","F50439","diagnosis2","CD.dys",2.33410581487042e-05
"F44351","F44351","diagnosis2","CD.dys",2.35026926048144e-05
"F11356","F11356","diagnosis2","CD.dys",2.39441932246169e-05
"F7332","F7332","diagnosis2","CD.dys",2.61727973837913e-05
"F7724","F7724","diagnosis2","CD.dys",2.68734832740838e-05
"F20130","F20130","diagnosis2","CD.dys",2.73346015747491e-05
"F51290","F51290","diagnosis2","CD.dys",2.75901355765019e-05
"F3321","F3321","diagnosis2","CD.dys",2.87073253919582e-05
"F27971","F27971","diagnosis2","CD.dys",2.87073253919582e-05
"F20177","F20177","diagnosis2","CD.dys",2.87073253919582e-05
"F35030","F35030","diagnosis2","CD.dys",2.87073253919582e-05
"F30506","F30506","diagnosis2","CD.dys",2.87073253919582e-05
"F3254","F3254","diagnosis2","CD.dys",2.99869358341577e-05
"F39899","F39899","diagnosis2","CD.dys",2.99869358341577e-05
"F5998","F5998","diagnosis2","CD.dys",2.99869358341577e-05
"F18461","F18461","diagnosis2","CD.dys",3.05834282733969e-05
"F2526","F2526","diagnosis2","CD.dys",3.25721339376131e-05
"F4831","F4831","diagnosis2","CD.dys",3.25721339376131e-05
"F7435","F7435","diagnosis2","CD.dys",3.25721339376131e-05
"F8430","F8430","diagnosis2","CD.dys",3.25721339376131e-05
"F20025","F20025","diagnosis2","CD.dys",3.25721339376131e-05
"F26818","F26818","diagnosis2","CD.dys",3.25721339376131e-05
"F24893","F24893","diagnosis2","CD.dys",3.29302689594429e-05
"F53847","F53847","diagnosis2","CD.dys",3.31101522965627e-05
"F7330","F7330","diagnosis2","CD.dys",3.3367629961865e-05
"F55282","F55282","diagnosis2","CD.dys",3.48041884507887e-05
"F6404","F6404","diagnosis2","CD.dys",3.48041884507887e-05
"F8551","F8551","diagnosis2","CD.dys",3.51375378889755e-05
"F5316","F5316","diagnosis2","CD.dys",3.57356309736088e-05
"F5967","F5967","diagnosis2","CD.dys",3.61339782525886e-05
"F4919","F4919","diagnosis2","CD.dys",3.71922799736792e-05
"F29937","F29937","diagnosis2","CD.dys",3.77655243318393e-05
"F7429","F7429","diagnosis2","CD.dys",3.80259657798297e-05
"F48858","F48858","diagnosis2","CD.dys",3.82241884376444e-05
"F12312","F12312","diagnosis2","CD.dys",3.82241884376444e-05
"F48878","F48878","diagnosis2","CD.dys",3.82241884376444e-05
"F2629","F2629","diagnosis2","CD.dys",3.85163536145481e-05
"F8386","F8386","diagnosis2","CD.dys",3.85163536145481e-05
"F46944","F46944","diagnosis2","CD.dys",3.85163536145481e-05
"F10044","F10044","diagnosis2","CD.dys",4.00456001921472e-05
"F402","F402","diagnosis2","CD.dys",4.01452434616602e-05
"F11631","F11631","diagnosis2","CD.dys",4.01452434616602e-05
"F4074","F4074","diagnosis2","CD.dys",4.01452434616602e-05
"F3013","F3013","diagnosis2","CD.dys",4.15443569325358e-05
