"","feature","metadata","value","qvalue"
"F5497","F5497","diagnosis","UC",4.91985281467725e-10
"F40947","F40947","diagnosis","UC",4.91985281467725e-10
"F41030","F41030","diagnosis","UC",5.32130153186482e-10
"F40904","F40904","diagnosis","UC",6.05911289763997e-10
"F11301","F11301","diagnosis","UC",6.05911289763997e-10
"F2329","F2329","diagnosis","UC",8.11047617145542e-10
"F4631","F4631","diagnosis","UC",7.96571718163931e-10
"F4777","F4777","diagnosis","UC",8.11047617145542e-10
"F11302","F11302","diagnosis","UC",8.11047617145542e-10
"F40955","F40955","diagnosis","UC",7.96571718163931e-10
"F8541","F8541","diagnosis","UC",1.62039846715044e-09
"F10434","F10434","diagnosis","UC",2.78335116982019e-09
"F12127","F12127","diagnosis","UC",2.78335116982019e-09
"F5498","F5498","diagnosis","UC",3.20731568887817e-09
"F41029","F41029","diagnosis","UC",3.20731568887817e-09
"F4637","F4637","diagnosis","UC",4.99532071606465e-09
"F1567","F1567","diagnosis","UC",5.14118307191513e-09
"F3375","F3375","diagnosis","UC",5.3373849041239e-09
"F41270","F41270","diagnosis","UC",5.50038781352333e-09
"F2079","F2079","diagnosis","UC",8.55412826417192e-09
"F10370","F10370","diagnosis","UC",1.02324768514895e-08
"F49275","F49275","diagnosis","UC",1.02324768514895e-08
"F1552","F1552","diagnosis","UC",1.13130056205038e-08
"F1600","F1600","diagnosis","UC",1.13130056205038e-08
"F4747","F4747","diagnosis","UC",1.13130056205038e-08
"F12770","F12770","diagnosis","UC",1.13130056205038e-08
"F45237","F45237","diagnosis","UC",1.13130056205038e-08
"F50319","F50319","diagnosis","UC",1.13130056205038e-08
"F4778","F4778","diagnosis","UC",1.17961462698102e-08
"F38556","F38556","diagnosis","UC",1.37407912908876e-08
"F1620","F1620","diagnosis","UC",1.3945460074746e-08
"F676","F676","diagnosis","UC",1.71215414248806e-08
"F1566","F1566","diagnosis","UC",1.71215414248806e-08
"F13123","F13123","diagnosis","UC",1.71215414248806e-08
"F51475","F51475","diagnosis","UC",1.71215414248806e-08
"F10890","F10890","diagnosis","UC",2.02920305723187e-08
"F37304","F37304","diagnosis","UC",2.08431659084224e-08
"F8542","F8542","diagnosis","UC",2.08431659084224e-08
"F2883","F2883","diagnosis","UC",2.1036552399139e-08
"F47111","F47111","diagnosis","UC",2.1036552399139e-08
"F54435","F54435","diagnosis","UC",2.1036552399139e-08
"F1344","F1344","diagnosis","UC",2.13781197690215e-08
"F1687","F1687","diagnosis","UC",2.1335751423501e-08
"F41410","F41410","diagnosis","UC",2.1335751423501e-08
"F50741","F50741","diagnosis","UC",2.16852032481507e-08
"F55036","F55036","diagnosis","UC",2.1335751423501e-08
"F2484","F2484","diagnosis","UC",2.33141817074788e-08
"F5106","F5106","diagnosis","UC",2.33141817074788e-08
"F40936","F40936","diagnosis","UC",2.51242002453374e-08
"F2992","F2992","diagnosis","UC",3.1050058264166e-08
"F3684","F3684","diagnosis","UC",3.1050058264166e-08
"F4801","F4801","diagnosis","UC",3.1050058264166e-08
"F10005","F10005","diagnosis","UC",3.14639724213452e-08
"F40905","F40905","diagnosis","UC",3.1050058264166e-08
"F40926","F40926","diagnosis","UC",3.14639724213452e-08
"F56619","F56619","diagnosis","UC",3.1050058264166e-08
"F54875","F54875","diagnosis","UC",3.20728021453164e-08
"F40943","F40943","diagnosis","UC",3.22545318378779e-08
"F49170","F49170","diagnosis","UC",3.22593121892299e-08
"F51917","F51917","diagnosis","UC",3.40796826307391e-08
"F1571","F1571","diagnosis","UC",3.47279778423918e-08
"F2123","F2123","diagnosis","UC",3.47279778423918e-08
"F50782","F50782","diagnosis","UC",3.47279778423918e-08
"F56382","F56382","diagnosis","UC",3.47279778423918e-08
"F5062","F5062","diagnosis","UC",3.50536691840431e-08
"F51437","F51437","diagnosis","UC",3.71753453025372e-08
"F4771","F4771","diagnosis","UC",4.34441519369207e-08
"F787","F787","diagnosis","UC",4.34703160619714e-08
"F4812","F4812","diagnosis","UC",4.34703160619714e-08
"F1569","F1569","diagnosis","UC",4.5135053119041e-08
"F1591","F1591","diagnosis","UC",4.5135053119041e-08
"F1956","F1956","diagnosis","UC",4.5135053119041e-08
"F12158","F12158","diagnosis","UC",4.5135053119041e-08
"F3126","F3126","diagnosis","UC",4.5135053119041e-08
"F51587","F51587","diagnosis","UC",4.5135053119041e-08
"F2109","F2109","diagnosis","UC",4.5135053119041e-08
"F1763","F1763","diagnosis","UC",4.5575198707695e-08
"F2099","F2099","diagnosis","UC",4.67418760699238e-08
"F2122","F2122","diagnosis","UC",4.67418760699238e-08
"F1277","F1277","diagnosis","UC",4.79695747815386e-08
"F2080","F2080","diagnosis","UC",4.79695747815386e-08
"F2409","F2409","diagnosis","UC",4.79695747815386e-08
"F3155","F3155","diagnosis","UC",4.79695747815386e-08
"F3226","F3226","diagnosis","UC",4.79695747815386e-08
"F3685","F3685","diagnosis","UC",4.79695747815386e-08
"F9492","F9492","diagnosis","UC",4.79695747815386e-08
"F12354","F12354","diagnosis","UC",4.79695747815386e-08
"F41484","F41484","diagnosis","UC",4.79695747815386e-08
"F10053","F10053","diagnosis","UC",5.29009921773458e-08
"F54618","F54618","diagnosis","UC",5.57714102119963e-08
"F2287","F2287","diagnosis","UC",5.89992492543716e-08
"F2813","F2813","diagnosis","UC",5.90260177064212e-08
"F4423","F4423","diagnosis","UC",6.21008112426394e-08
"F874","F874","diagnosis","UC",6.33469038667952e-08
